real_time,timestamp_s,seq,rel_pitch_deg,rel_roll_deg,avg_pitch_deg,avg_roll_deg,accel_x_1,accel_y_1,accel_z_1,gyro_x_1,gyro_y_1,gyro_z_1,accel_x_2,accel_y_2,accel_z_2,gyro_x_2,gyro_y_2,gyro_z_2,q1w,q1x,q1y,q1z,q2w,q2x,q2y,q2z,temp1_C,temp2_C,madgwick_beta1,madgwick_beta2
21:26:45.558,8934.3351,446523,1.234,0.057,0.756,0.024,0.7551,-0.0273,-0.886,0.02012,-0.10352,0.00413,1.0024,0.0283,0.0574,-0.05969,0.01812,-0.02891,0.66239,-0.03361,-0.74841,-0.00052,0.72771,0.0187,-0.68563,0.00057,49.7,53.19,0.02,0.0767
21:26:45.585,8934.3551,446524,1.382,0.053,0.776,0.025,0.7583,-0.0396,-0.887,0.02491,-0.10619,0.00946,1.0071,0.0269,0.061,-0.05982,0.01599,-0.02212,0.66222,-0.03366,-0.74856,-0.00047,0.72844,0.01877,-0.68485,0.00047,49.7,53.19,0.02,0.073
21:26:45.599,8934.3751,446525,1.561,0.056,0.801,0.026,0.7625,-0.0334,-0.8928,0.02065,-0.14189,-0.00333,1.0073,0.0273,0.0659,-0.05822,0.00866,-0.02785,0.66178,-0.03363,-0.74895,-0.00053,0.72911,0.01884,-0.68413,0.0004,49.7,53.19,0.02,0.0726
21:26:45.629,8934.3951,446526,1.476,0.062,0.821,0.027,0.7576,-0.0334,-0.8882,0.02372,-0.11165,0.00306,1.0039,0.0312,0.0559,-0.05942,0.01026,-0.02691,0.66157,-0.03364,-0.74913,-0.00053,0.72841,0.01925,-0.68487,2e-05,49.69,53.2,0.02,0.0755
21:26:45.658,8934.4151,446527,1.426,0.07,0.839,0.028,0.7559,-0.0337,-0.8838,0.02278,-0.11032,0.006,1.0076,0.0312,0.0596,-0.05942,0.01652,-0.02398,0.66136,-0.03367,-0.74931,-0.00052,0.72792,0.01998,-0.68537,-0.00066,49.71,53.2,0.02,0.0726
21:26:45.660,8934.4351,446528,1.561,0.066,0.86,0.029,0.7625,-0.033,-0.8904,0.02265,-0.1263,0.00173,1.0076,0.0229,0.0659,-0.05862,0.01292,-0.02491,0.66104,-0.03367,-0.74959,-0.00053,0.72844,0.01924,-0.68484,2e-05,49.71,53.18,0.02,0.0725
21:26:45.689,8934.4551,446529,1.479,0.071,0.877,0.03,0.76,-0.0354,-0.8914,0.02292,-0.11671,0.00293,1.0063,0.0286,0.0574,-0.05915,0.01053,-0.02638,0.66078,-0.03368,-0.74982,-0.00053,0.72771,0.01933,-0.68561,-5e-05,49.7,53.2,0.02,0.0737
21:26:45.704,8934.4751,446530,1.582,0.066,0.896,0.031,0.7603,-0.0291,-0.885,0.02265,-0.11951,0.00266,1.0046,0.0266,0.0603,-0.05849,0.01426,-0.02625,0.66052,-0.03369,-0.75005,-0.00053,0.72809,0.01839,-0.68523,0.00083,49.69,53.18,0.02,0.0749
21:26:45.719,8934.4951,446531,1.679,0.07,0.917,0.032,0.7573,-0.033,-0.8889,0.02491,-0.12017,0.00373,1.0039,0.0278,0.0613,-0.05862,0.01279,-0.02478,0.66024,-0.03369,-0.7503,-0.00052,0.72841,0.01937,-0.68486,-0.0001,49.69,53.19,0.02,0.0754
21:26:45.779,8934.5151,446532,1.607,0.076,0.934,0.033,0.76,-0.0388,-0.8877,0.02305,-0.11698,0.00253,1.0068,0.0298,0.0593,-0.05875,0.01266,-0.02718,0.65998,-0.0337,-0.75053,-0.00052,0.72774,0.01974,-0.68557,-0.00043,49.7,53.2,0.02,0.0733
